,numero_homicidio,muni_ocorrencia,branca,preta,amarela,parda,indigena,raca_nao_decl,Homem,Mulher,genero_nao_decl,municipio
0,619,3304557,169,90,2,343,1,14,555,62,0,Rio de Janeiro
1,436,3301702,83,66,0,286,0,1,411,23,0,Duque de Caxias
2,251,3304904,62,36,0,152,0,1,238,13,0,Sao Goncalo
3,149,3301009,17,40,0,90,1,1,141,8,0,Campos dos Goytacazes
4,137,3300100,53,13,0,70,0,1,133,4,0,Angra dos Reis
5,126,3305109,27,21,0,78,0,0,123,3,0,Sao Joao de Meriti
6,113,3300704,37,28,1,47,0,0,111,2,0,Cabo Frio
7,105,3301900,28,17,0,51,0,9,96,3,0,Itaborai
8,103,3302403,20,27,0,56,0,0,96,7,0,Macae
9,102,3303302,29,24,1,47,0,1,93,8,0,Niteroi
10,101,3306305,33,15,0,53,0,0,90,11,0,Volta Redonda
11,60,3302502,16,11,0,33,0,0,58,2,0,Mage
12,59,3305208,17,6,0,34,0,2,58,1,0,Sao Pedro da Aldeia
13,57,3303500,16,9,0,31,0,1,51,5,0,Nova Iguacu
14,51,3306008,16,17,0,18,0,0,46,5,0,Tres Rios
15,40,3300407,14,12,0,14,0,0,34,6,0,Barra Mansa
16,34,3304524,10,3,0,21,0,0,31,3,0,Rio das Ostras
17,33,3300456,5,9,0,18,0,1,28,5,0,Belford Roxo
18,30,3304201,15,5,0,10,0,0,30,0,0,Resende
19,28,3300209,8,4,0,16,0,0,28,0,0,Araruama
