,numero_homicidio,muni_ocorrencia,branca,preta,amarela,parda,indigena,raca_nao_decl,Homem,Mulher
0,619,3304557,169,90,2,343,1,14,555,62
1,436,3301702,83,66,0,286,0,1,411,23
2,251,3304904,62,36,0,152,0,1,238,13
3,149,3301009,17,40,0,90,1,1,141,8
4,137,3300100,53,13,0,70,0,1,133,4
5,126,3305109,27,21,0,78,0,0,123,3
6,113,3300704,37,28,1,47,0,0,111,2
7,105,3301900,28,17,0,51,0,9,96,3
8,103,3302403,20,27,0,56,0,0,96,7
9,102,3303302,29,24,1,47,0,1,93,8
10,101,3306305,33,15,0,53,0,0,90,11
11,60,3302502,16,11,0,33,0,0,58,2
12,59,3305208,17,6,0,34,0,2,58,1
13,57,3303500,16,9,0,31,0,1,51,5
14,51,3306008,16,17,0,18,0,0,46,5
15,40,3300407,14,12,0,14,0,0,34,6
16,34,3304524,10,3,0,21,0,0,31,3
17,33,3300456,5,9,0,18,0,1,28,5
18,30,3304201,15,5,0,10,0,0,30,0
19,28,3300209,8,4,0,16,0,0,28,0
20,26,3303401,17,1,0,8,0,0,23,3
21,24,3303906,11,5,0,7,0,1,20,4
22,22,3302858,3,6,0,12,0,1,21,0
23,21,3302700,11,2,0,7,0,1,21,0
24,21,3302205,7,6,0,7,0,1,18,3
25,20,3305802,7,6,0,7,0,0,17,3
26,19,3302007,1,3,0,15,0,0,18,0
27,18,3300803,7,1,0,10,0,0,16,2
28,17,3303807,12,0,0,5,0,0,15,2
29,16,3304755,3,2,0,11,0,0,16,0
30,16,3301850,5,5,0,6,0,0,14,2
31,13,3302601,2,0,0,9,0,2,11,1
32,12,3300258,3,0,0,9,0,0,12,0
33,12,3301306,6,2,0,4,0,0,12,0
34,11,3300308,4,6,0,1,0,0,10,1
35,11,3305000,6,0,0,5,0,0,11,0
36,11,3300233,2,5,0,4,0,0,10,1
37,10,3302254,2,3,0,5,0,0,10,0
38,10,3301405,2,1,0,7,0,0,10,0
39,9,3304706,4,2,0,3,0,0,7,2
40,9,3304144,1,2,0,6,0,0,9,0
41,9,3303005,3,4,0,1,0,1,9,0
42,8,3303203,3,2,0,3,0,0,7,1
43,7,3304151,3,1,0,3,0,0,7,0
44,6,3305505,3,0,0,3,0,0,6,0
45,5,3302908,3,0,0,2,0,0,4,1
46,5,3304110,2,2,0,1,0,0,4,1
47,5,3301876,1,0,0,3,0,1,4,1
48,4,3306107,1,1,0,2,0,0,4,0
49,4,3305752,1,1,0,2,0,0,4,0
50,4,3302270,1,0,0,3,0,0,3,1
51,4,3303856,3,0,0,1,0,0,4,0
52,4,3303955,0,2,0,2,0,0,3,1
53,3,3304607,2,1,0,0,0,0,3,0
54,3,3304300,0,2,0,1,0,0,2,1
55,3,3304003,1,1,0,1,0,0,3,0
56,3,3304409,2,0,0,1,0,0,2,1
57,3,3305554,0,0,0,3,0,0,3,0
58,3,3303708,0,1,0,2,0,0,3,0
59,3,3306206,2,0,0,0,0,1,2,0
60,3,3302106,2,1,0,0,0,0,2,1
61,3,3302056,0,0,0,3,0,0,3,0
62,3,3303609,1,0,0,2,0,0,3,0
63,2,4106902,1,0,0,1,0,0,2,0
64,2,3305307,1,1,0,0,0,0,2,0
65,2,3304805,1,1,0,0,0,0,2,0
66,2,3301157,1,0,0,1,0,0,1,1
67,2,3301504,1,0,0,1,0,0,2,0
68,2,3300506,2,0,0,0,0,0,2,0
69,2,3305901,2,0,0,0,0,0,2,0
70,2,3300605,2,0,0,0,0,0,2,0
71,2,3304128,0,0,0,2,0,0,2,0
72,1,3555406,1,0,0,0,0,0,1,0
73,1,3531704,1,0,0,0,0,0,1,0
74,1,3550100,1,0,0,0,0,0,1,0
75,1,5005202,1,0,0,0,0,0,1,0
76,1,5205497,0,0,0,1,0,0,1,0
77,1,3305703,0,0,0,1,0,0,1,0
78,1,5212501,0,0,0,1,0,0,1,0
79,1,3548708,1,0,0,0,0,0,1,0
80,1,2103752,0,0,0,1,0,0,1,0
81,1,3305406,1,0,0,0,0,0,1,0
82,1,3305133,1,0,0,0,0,0,1,0
83,1,2923001,0,0,0,1,0,0,1,0
84,1,3127701,0,0,0,1,0,0,1,0
85,1,3147808,0,0,0,1,0,0,1,0
86,1,3162906,0,1,0,0,0,0,1,0
87,1,3201209,1,0,0,0,0,0,1,0
88,1,3201308,0,0,0,1,0,0,1,0
89,1,3202454,0,0,0,1,0,0,1,0
90,1,3300225,0,0,0,1,0,0,1,0
91,1,3300936,0,0,0,1,0,0,1,0
92,1,3301108,0,0,0,1,0,0,1,0
93,1,3301801,0,1,0,0,0,0,1,0
94,1,3303104,1,0,0,0,0,0,1,0
95,1,2913606,0,0,0,1,0,0,1,0
96,1,3304102,1,0,0,0,0,0,0,1
97,1,3304508,1,0,0,0,0,0,1,0
98,1,5221858,0,0,0,1,0,0,1,0
